datetime, download (bps), upload (bps), ping (ms), latitude, longitude, speed (mph)
14/12/2022 11:05:23,1146286.3526232431,264338.49222378636,70.835,29.754892666666667,-96.6101045,81.2565758
14/12/2022 11:05:24,636390.4476895434,143923.55554037704,70.835,29.754693,-96.60979733333333,81.2738375
14/12/2022 11:05:24,560963.7762517869,284978.4075838079,70.835,29.754693,-96.60979733333333,81.2738375
14/12/2022 11:05:25,229671.52659178962,128184.52062527115,70.835,29.754496666666668,-96.60949433333333,81.15991027999999
14/12/2022 11:05:26,751962.0440961603,186450.03070823694,70.835,29.754307333333333,-96.60918633333333,81.24506799999999
14/12/2022 11:05:26,567757.0824906991,106585.38727406168,70.835,29.754307333333333,-96.60918633333333,81.24506799999999
14/12/2022 11:05:26,377397.6008807138,112816.58342492921,70.835,29.754307333333333,-96.60918633333333,81.24506799999999
14/12/2022 11:05:28,396159.0295519883,85771.06731555118,70.835,29.753917166666668,-96.6085815,81.45335918
14/12/2022 11:05:31,403365.00679313234,100424.4481967417,70.835,29.753333,-96.60767583333333,81.6996261
14/12/2022 11:05:33,945108.261806191,387230.5298403054,70.835,29.752920666666668,-96.6070855,81.64899177999999
14/12/2022 11:05:35,750713.0006581983,187351.05790799658,70.835,29.752501833333334,-96.60650683333333,81.81930722
14/12/2022 11:05:39,381714.23437347054,139632.50372736197,70.835,29.751636833333333,-96.60536916666666,81.56038172
14/12/2022 11:05:39,763151.3808558816,144419.60998343566,70.835,29.751636833333333,-96.60536916666666,81.56038172
14/12/2022 11:05:40,380849.01574835833,63420.257779015425,70.835,29.751414,-96.60508816666666,81.70998312
14/12/2022 11:05:40,184392.92541695383,250222.35742789443,70.835,29.751414,-96.60508816666666,81.70998312
14/12/2022 11:05:44,945103.0599061687,58912.73115618188,70.835,29.750515,-96.60398766666667,81.45681152
14/12/2022 11:05:52,125604.11386385452,178636.09680564594,70.835,29.748676,-96.60181683333333,81.69847532
14/12/2022 11:05:56,348464.85917443474,292675.9060739166,70.835,29.7477845,-96.60069983333334,81.80664863999999
14/12/2022 11:05:57,136404.11546466118,152927.42198984564,70.835,29.74756633333333,-96.60041616666666,81.80319629999998
14/12/2022 11:05:57,25183.057592314704,130151.67487190691,70.835,29.74756633333333,-96.60041616666666,81.80319629999998
14/12/2022 11:05:59,15334.567799485721,184744.60722698225,70.835,29.747136,-96.59984666666666,81.4867318
14/12/2022 11:06:02,380777.91699249804,95384.34787718562,70.835,29.746492333333332,-96.59899066666667,81.60411136
14/12/2022 11:06:06,377007.04667522915,263971.41637179465,70.835,29.745634,-96.5978555,81.17141808
14/12/2022 11:06:06,185925.25732997883,96818.50659365083,70.835,29.745634,-96.5978555,81.17141808
14/12/2022 11:06:12,186108.36368118023,60906.24780551393,70.835,29.7443495,-96.596151,81.27268671999998
14/12/2022 11:06:15,257873.36130219098,186229.23477784568,70.835,29.743706833333334,-96.5953,81.01030888
14/12/2022 11:06:20,146825.5046735464,87497.54407833896,70.835,29.742657666666666,-96.593907,78.48204521999999
14/12/2022 11:06:22,386023.2121280194,117109.03519529801,70.835,29.742243333333334,-96.59336933333333,77.86637791999999
14/12/2022 11:06:22,102883.28921770623,119668.66176650922,70.835,29.742243333333334,-96.59336933333333,77.86637791999999
14/12/2022 11:06:27,750372.6112524486,72436.16700618516,70.835,29.741235666666668,-96.59203533333333,75.93191674
14/12/2022 11:06:29,153348.94262211674,62509.00035551342,70.835,29.740839666666666,-96.591505,75.17240193999999
14/12/2022 11:06:31,869457.015178691,294944.9168874495,70.835,29.740448,-96.59097233333334,74.87665147999999
14/12/2022 11:06:32,14503.926742481133,319376.69673082564,70.835,29.740248666666666,-96.5907115,74.85938978
14/12/2022 11:06:32,113222.4690025033,152926.83116753312,70.835,29.740248666666666,-96.5907115,74.85938978
14/12/2022 11:06:39,767160.6490397895,75685.1819513075,70.835,29.73886,-96.58886433333333,74.45891834
14/12/2022 11:06:43,281360.49637816637,387409.78216117504,70.835,29.73807933333333,-96.58783616666666,73.83174324
14/12/2022 11:06:43,184600.6999479882,286846.4816166166,70.835,29.73807933333333,-96.58783616666666,73.83174324
14/12/2022 11:06:47,568459.3428592011,406361.34295895894,70.835,29.737255,-96.586828,75.27251979999998
14/12/2022 11:06:47,125815.93165422833,309757.1271072743,70.835,29.737255,-96.586828,75.27251979999998
14/12/2022 11:06:47,385918.5620727388,201608.7227783544,70.835,29.737255,-96.586828,75.27251979999998
14/12/2022 11:06:49,377110.3819778831,197873.1226855042,70.835,29.736818833333334,-96.58634516666666,75.2840276
14/12/2022 11:06:54,383139.4292988812,179589.70879117388,70.835,29.735688833333334,-96.5852215,74.1159859
14/12/2022 11:06:55,121084.15090258453,103638.45290083285,70.835,29.735455,-96.58500916666667,74.08606562
14/12/2022 11:06:56,761686.8391320982,496201.19308050117,70.835,29.735217333333335,-96.58480183333333,74.16316787999999
14/12/2022 11:06:57,164730.37325280253,78190.88916528528,70.835,29.734976333333332,-96.58459816666667,74.43590274
14/12/2022 11:06:58,146714.79864160554,119747.4004348772,70.835,29.734732,-96.58439816666667,74.39102232
14/12/2022 11:06:58,185734.4739644574,306338.62455810816,70.835,29.734732,-96.58439816666667,74.39102232
14/12/2022 11:06:59,326778.8532328059,71884.91423108174,70.835,29.7344835,-96.58420383333333,74.56709165999999
14/12/2022 11:07:01,186048.5209486326,194345.03058365238,70.835,29.733980333333335,-96.58382866666666,74.4382043
14/12/2022 11:07:02,573459.4210484404,254003.1694810621,70.835,29.7337255,-96.58364783333333,74.19884206
